"Membre","Candidat","Non membre, non candidat"
"Antigua and Barbuda","Algeria","Angola"
"Argentina","Azerbaijan","Bangladesh"
"Australia","Belize","Benin"
"Bahamas, The","Bolivia","Bhutan"
"Brazil","Botswana","Burkina Faso"
"Chile","Congo, Rep.","Burundi"
"China","Cote d'Ivoire","Cambodia"
"Colombia","Ecuador","Cameroon"
"Costa Rica","Egypt, Arab Rep.","Canada"
"Dominican Republic","El Salvador","Cape Verde"
"Hong Kong, China","Equatorial Guinea","Central African Republic"
"Iran, Islamic Rep.","Fiji","Chad"
"Israel","Gabon","Comoros"
"Jamaica","Gambia, The","Congo, Dem. Rep."
"Jordan","Georgia","Eritrea"
"Kuwait","Ghana","Ethiopia"
"Lebanon","Honduras","Guinea"
"Macao, China","Indonesia","Guinea-Bissau"
"Malaysia","Kazakhstan","Haiti"
"Maldives","Kyrgyz Republic","India"
"Mauritius","Libya","Japan"
"Mexico","Mauritania","Kenya"
"Morocco","Mongolia","Kiribati"
"New Zealand","Namibia","Korea, Rep."
"Panama","Pakistan","Lao PDR"
"Peru","Paraguay","Lesotho"
"Russian Federation","Philippines","Liberia"
"San Marino","Samoa","Madagascar"
"Saudi Arabia","South Africa","Malawi"
"Seychelles","Sri Lanka","Mali"
"Singapore","Swaziland","Marshall Islands"
"St. Vincent and the Grenadines","Tajikistan","Micronesia, Fed. Sts."
"Syrian Arab Republic","Tonga","Mozambique"
"Thailand",,"Nepal"
"Trinidad and Tobago",,"Niger"
"Tunisia",,"Nigeria"
"Uruguay",,"Papua New Guinea"
"Venezuela, RB",,"Rwanda"
"Vietnam",,"Sao Tome and Principe"
,,"Senegal"
,,"Sierra Leone"
,,"Solomon Islands"
,,"Sudan"
,,"Tanzania"
,,"Togo"
,,"Turkmenistan"
,,"Uganda"
,,"United States"
,,"Uzbekistan"
,,"Vanuatu"
,,"Zambia"
